id1,id2,weight
footwear.n.02,covering.n.02,1
adhesive_tape.n.01,physical_entity.n.01,1
candle.n.01,physical_entity.n.01,1
organism.n.01,entity.n.01,1
owl.n.01,vertebrate.n.01,1
treadmill.n.01,physical_entity.n.01,1
vertebrate.n.01,physical_entity.n.01,1
tea.n.01,physical_entity.n.01,1
goggles.n.01,artifact.n.01,1
coffee_maker.n.01,kitchen_appliance.n.01,1
perfume.n.02,whole.n.02,1
desk.n.01,table.n.02,1
tea_tray.n.01,instrumentality.n.03,1
wheelchair.n.01,object.n.01,1
mat.n.03,entity.n.01,1
bag.n.04,whole.n.02,1
cereal_box.n.01,physical_entity.n.01,1
timepiece.n.01,device.n.01,1
pen.n.01,physical_entity.n.01,1
electric_lamp.n.01,device.n.01,1
electronic_device.n.01,object.n.01,1
instrument.n.01,physical_entity.n.01,1
desk.n.01,furnishing.n.02,1
can.n.01,instrumentality.n.03,1
stringed_instrument.n.01,musical_instrument.n.01,1
printer.n.03,entity.n.01,1
roller_skate.n.01,artifact.n.01,1
suit.n.01,artifact.n.01,1
plastic_bag.n.01,physical_entity.n.01,1
vine.n.01,entity.n.01,1
carrot.n.01,entity.n.01,1
file.n.03,entity.n.01,1
headdress.n.01,whole.n.02,1
washer.n.03,artifact.n.01,1
mirror.n.01,whole.n.02,1
dog.n.01,organism.n.01,1
instrumentality.n.03,object.n.01,1
seat.n.03,whole.n.02,1
support.n.10,object.n.01,1
earphone.n.01,instrumentality.n.03,1
wineglass.n.01,instrumentality.n.03,1
christmas_bush.n.01,organism.n.01,1
food.n.01,entity.n.01,1
herb.n.01,organism.n.01,1
produce.n.01,entity.n.01,1
High_heels.n.01,object.n.01,1
ring.n.08,physical_entity.n.01,1
Nightstand.n.01,physical_entity.n.01,1
pot.n.04,entity.n.01,1
white_goods.n.01,whole.n.02,1
desk.n.01,whole.n.02,1
cereal_box.n.01,box.n.01,1
bread_knife.n.01,entity.n.01,1
milk.n.01,entity.n.01,1
cooking_utensil.n.01,entity.n.01,1
duck.n.01,organism.n.01,1
whisk.n.01,instrumentality.n.03,1
television.n.01,medium.n.01,1
trouser.n.01,covering.n.02,1
spoon.n.01,whole.n.02,1
cellular_telephone.n.01,electronic_equipment.n.01,1
guitar.n.01,device.n.01,1
television.n.01,entity.n.01,1
jewelry.n.01,artifact.n.01,1
frisbee.n.01,physical_entity.n.01,1
owl.n.01,whole.n.02,1
XBox.n.01,object.n.01,1
equipment.n.01,object.n.01,1
lantern.n.01,entity.n.01,1
doughnut.n.02,baked_goods.n.01,1
remote_control.n.01,whole.n.02,1
tableware.n.01,physical_entity.n.01,1
dimmer.n.01,entity.n.01,1
home_appliance.n.01,artifact.n.01,1
countertop.n.01,object.n.01,1
case.n.05,container.n.01,1
picture_frame.n.01,whole.n.02,1
juice.n.01,foodstuff.n.02,1
keyboard.n.01,artifact.n.01,1
cupboard.n.01,physical_entity.n.01,1
digital_clock.n.01,instrument.n.01,1
writing_implement.n.01,object.n.01,1
home_plate.n.01,instrumentality.n.03,1
coffee_maker.n.01,whole.n.02,1
curtain.n.01,object.n.01,1
bicycle.n.01,entity.n.01,1
case.n.05,artifact.n.01,1
short_pants.n.01,artifact.n.01,1
fireplace.n.01,physical_entity.n.01,1
herb.n.01,vascular_plant.n.01,1
box.n.01,container.n.01,1
coffee_cup.n.01,physical_entity.n.01,1
boot.n.01,covering.n.02,1
window.n.01,framework.n.03,1
produce.n.01,food.n.02,1
vase.n.01,physical_entity.n.01,1
scarf.n.01,covering.n.02,1
scale.n.07,instrumentality.n.03,1
box.n.01,artifact.n.01,1
melon.n.02,plant.n.02,1
heater.n.01,entity.n.01,1
measuring_instrument.n.01,entity.n.01,1
tripod.n.01,object.n.01,1
electronic_device.n.01,instrumentality.n.03,1
book.n.01,physical_entity.n.01,1
football.n.02,physical_entity.n.01,1
balloon.n.01,entity.n.01,1
pitcher.n.02,entity.n.01,1
food.n.02,entity.n.01,1
furniture.n.01,object.n.01,1
football_helmet.n.01,headdress.n.01,1
basketball.n.02,entity.n.01,1
teacup.n.02,instrumentality.n.03,1
switch.n.01,physical_entity.n.01,1
appliance.n.02,whole.n.02,1
stringed_instrument.n.01,physical_entity.n.01,1
woody_plant.n.01,whole.n.02,1
chopping_board.n.01,physical_entity.n.01,1
furnishing.n.02,instrumentality.n.03,1
roller_skate.n.01,whole.n.02,1
musical_instrument.n.01,artifact.n.01,1
drum.n.01,device.n.01,1
clock.n.01,object.n.01,1
football.n.02,equipment.n.01,1
Dog_bed.n.01,furnishing.n.02,1
suit.n.01,whole.n.02,1
charger.n.02,whole.n.02,1
tiara.n.01,clothing.n.01,1
sculpture.n.01,object.n.01,1
kitchenware.n.01,whole.n.02,1
kitchenware.n.01,utensil.n.01,1
cucumber.n.01,whole.n.02,1
kitchen_table.n.01,artifact.n.01,1
jug.n.01,instrumentality.n.03,1
tool.n.01,artifact.n.01,1
placental.n.01,entity.n.01,1
wall_clock.n.01,instrument.n.01,1
bowl.n.01,whole.n.02,1
Table_tennis_racket.n.01,object.n.01,1
blackboard.n.01,artifact.n.01,1
toilet.n.02,physical_entity.n.01,1
console.n.02,device.n.01,1
computer_keyboard.n.01,entity.n.01,1
vessel.n.03,whole.n.02,1
sunhat.n.01,entity.n.01,1
shelf.n.01,physical_entity.n.01,1
kitchenware.n.01,implement.n.01,1
water_faucet.n.01,physical_entity.n.01,1
Facial_tissue_holder.n.01,physical_entity.n.01,1
lipstick.n.01,instrumentality.n.03,1
light_bulb.n.01,entity.n.01,1
key.n.01,physical_entity.n.01,1
gas_range.n.01,physical_entity.n.01,1
mug.n.04,whole.n.02,1
sink.n.01,object.n.01,1
laptop.n.01,object.n.01,1
XBox.n.01,instrumentality.n.03,1
Dog_bed.n.01,whole.n.02,1
structure.n.01,physical_entity.n.01,1
tea_tray.n.01,container.n.01,1
teapot.n.01,physical_entity.n.01,1
dumbbell.n.01,physical_entity.n.01,1
jacket.n.01,object.n.01,1
shirt.n.01,physical_entity.n.01,1
mouse.n.01,organism.n.01,1
piano_keyboard.n.01,whole.n.02,1
pencil.n.01,whole.n.02,1
